Manip	Condition	Plant	Phenotype	Pop	log_CFU	Type
CFBP13528	Pseudomonas fluorescens 2	12	Normal	10600000	7.025305865	Single Strain
CFBP13528	Pseudomonas fluorescens 2	13	Normal	2280000	6.357934847	Single Strain
CFBP13528	Pseudomonas fluorescens 2	14	Normal	2480000	6.394451681	Single Strain
CFBP13528	Pseudomonas fluorescens 2	15	Abnormal	74000000	7.86923172	Single Strain
CFBP13528	Pseudomonas fluorescens 2	16	Normal	12600000	7.100370545	Single Strain
CFBP13528	Pseudomonas fluorescens 2	17	Normal	5000000	6.698970004	Single Strain
CFBP13528	Pseudomonas fluorescens 2	18	Normal	16000000	7.204119983	Single Strain
CFBP13528	Pseudomonas fluorescens 2	19	Normal	108000000	8.033423755	Single Strain
CFBP13528	Pseudomonas fluorescens 2	20	Normal	14000000	7.146128036	Single Strain
CFBP13528	Pseudomonas fluorescens 2	21	Normal	11000000	7.041392685	Single Strain
CFBP13528	Pseudomonas fluorescens 2	22	Normal	10000000	7	Single Strain
CFBP13528	Pseudomonas fluorescens 2	23	Normal	12000000	7.079181246	Single Strain
CFBP13528	Pseudomonas fluorescens 2	24	Normal	11000000	7.041392685	Single Strain
CFBP13528	Pseudomonas fluorescens 2	25	Normal	68000000	7.832508913	Single Strain
CFBP13528	Pseudomonas fluorescens 2	26	Abnormal	44000000	7.643452676	Single Strain
CFBP13528	Pseudomonas fluorescens 2	27	Normal	13000000	7.113943352	Single Strain
CFBP13528	Pseudomonas fluorescens 2	28	Non Germinated			Single Strain
CFBP13528	Pseudomonas fluorescens 2	29	Normal	17400000	7.240549248	Single Strain
CFBP13528	Pseudomonas fluorescens 2	30	Non Germinated			Single Strain
CFBP13530	Enterobacter cancerogenus	1	Normal	4600000	6.662757832	Single Strain
CFBP13530	Enterobacter cancerogenus	2	Normal	8200000	6.913813852	Single Strain
CFBP13530	Enterobacter cancerogenus	3	Normal	1280000	6.10720997	Single Strain
CFBP13530	Enterobacter cancerogenus	4	Normal	5400000	6.73239376	Single Strain
CFBP13530	Enterobacter cancerogenus	5	Normal	4600000	6.662757832	Single Strain
CFBP13530	Enterobacter cancerogenus	6	Normal	4000000	6.602059991	Single Strain
CFBP13530	Enterobacter cancerogenus	7	Normal	1620000	6.209515015	Single Strain
CFBP13530	Enterobacter cancerogenus	8	Abnormal	84000	4.924279286	Single Strain
CFBP13530	Enterobacter cancerogenus	9	Normal	4000000	6.602059991	Single Strain
CFBP13530	Enterobacter cancerogenus	10	Normal	3800000	6.579783597	Single Strain
CFBP13530	Enterobacter cancerogenus	11	Normal	8600000	6.934498451	Single Strain
CFBP13530	Enterobacter cancerogenus	12	Normal	9600000	6.982271233	Single Strain
CFBP13530	Enterobacter cancerogenus	13	Normal	1560000	6.193124598	Single Strain
CFBP13530	Enterobacter cancerogenus	14	Abnormal	5800000	6.763427994	Single Strain
CFBP13530	Enterobacter cancerogenus	15	Normal	1820000	6.260071388	Single Strain
CFBP13530	Enterobacter cancerogenus	16	Non Germinated			Single Strain
CFBP13530	Enterobacter cancerogenus	17	Normal	5600000	6.748188027	Single Strain
CFBP13530	Enterobacter cancerogenus	18	Normal	2120000	6.326335861	Single Strain
CFBP13530	Enterobacter cancerogenus	19	Normal	2120000	6.326335861	Single Strain
CFBP13530	Enterobacter cancerogenus	20	Normal	15800000	7.198657087	Single Strain
CFBP13530	Enterobacter cancerogenus	21	Normal	1780000	6.250420002	Single Strain
CFBP13530	Enterobacter cancerogenus	22	Non Germinated			Single Strain
CFBP13530	Enterobacter cancerogenus	23	Normal	7800000	6.892094603	Single Strain
CFBP13530	Enterobacter cancerogenus	24	Normal	20400000	7.309630167	Single Strain
CFBP13530	Enterobacter cancerogenus	25	Normal	12600000	7.100370545	Single Strain
CFBP13530	Enterobacter cancerogenus	26	Normal	5400000	6.73239376	Single Strain
CFBP13530	Enterobacter cancerogenus	27	Abnormal	15600000	7.193124598	Single Strain
CFBP13530	Enterobacter cancerogenus	28	Normal	2860000	6.456366033	Single Strain
CFBP13530	Enterobacter cancerogenus	29	Normal	15600000	7.193124598	Single Strain
CFBP13530	Enterobacter cancerogenus	30	Normal	1560000	6.193124598	Single Strain
Strain	Control	E01		7.00E+03	3.9	Control
Strain	Control	E02		2.00E+01	1.3	Control
Strain	Control	E03		2.00E+01	1.3	Control
Strain	Control	E04		2.00E+01	1.3	Control
Strain	Control	E05		2.00E+01	1.3	Control
Strain	Control	E06		2.00E+01	1.3	Control
Strain	Control	E07		2.00E+01	1.3	Control
Strain	Control	E08		1.00E+03	3	Control
Strain	Control	E09		2.00E+01	1.3	Control
Strain	Control	E10		2.00E+01	1.3	Control
Strain	Control	E11		2.00E+01	1.3	Control
Strain	Control	E12		3.00E+02	2.4	Control
Strain	Control	E13		1.00E+02	2.1	Control
Strain	Control	E14		2.00E+01	1.3	Control
Strain	Control	E15		2.00E+01	1.3	Control
Strain	Control	E16		2.00E+01	1.3	Control
Strain	Control	E17		5.00E+04	4.7	Control
Strain	Control	E18		2.00E+04	4.2	Control
Strain	Control	E19		2.00E+01	1.3	Control
Strain	Control	E20		2.00E+01	1.3	Control
Strain	Control	E21		2.00E+01	1.3	Control
Strain	Control	E22		2.00E+01	1.3	Control
Strain	Control	E23		2.00E+01	1.3	Control
Strain	Control	E24		2.00E+02	2.2	Control
Strain	Control	E25		2.00E+01	1.3	Control
Strain	Control	E26		2.00E+01	1.3	Control
Strain	Control	E27		4.00E+01	1.6	Control
Strain	Control	E28		2.00E+01	1.3	Control
Strain	Control	E29		2.00E+01	1.3	Control
Strain	Control	E30		4.00E+01	1.6	Control
Strain	Control	E31		2.00E+01	1.3	Control
